District.Code,School.Code,County.Code,County.Name,District.Name,School.Name,City,Zip.Code,School.Type,Type.Label,Math,Reading.and.Writing,Average.Total.Score,Median.HH.Income
2390,075,17,HUDSON,JERSEY CITY,DR RONALD MCNAIR HIGH SCHOOL,Jersey City,7305,Public,3,662,646,1308,62739
2390,050,17,HUDSON,JERSEY CITY,HENRY SNYDER HIGH SCHOOL,Jersey City,7305,Public,3,431,438,869,62739
2390,002,17,HUDSON,JERSEY CITY,INFINITY INSTITUTE,Jersey City,7305,Public,3,598,567,1165,62739
2390,060,17,HUDSON,JERSEY CITY,JAMES J FERRIS HIGH SCHOOL,Jersey City,7305,Public,3,447,435,882,62739
2390,082,17,HUDSON,JERSEY CITY,LIBERTY HIGH SCHOOL,Jersey City,7305,Public,3,503,501,1004,62739
2390,070,17,HUDSON,JERSEY CITY,LINCOLN HIGH SCHOOL,Jersey City,7305,Public,3,428,431,859,62739
2390,080,17,HUDSON,JERSEY CITY,WILLIAM L DICKINSON HIGH SCHOOL,Jersey City,7305,Public,3,497,473,970,62739
2400,010,25,MONMOUTH,KEANSBURG BOROUGH,KEANSBURG HIGH SCHOOL,Keansburg,7734,Public,3,475,496,971,46250
2410,050,17,HUDSON,KEARNY TOWN,KEARNY HIGH SCHOOL,Kearny,7032,Public,3,513,519,1032,63271
2420,010,39,UNION,KENILWORTH BOROUGH,DAVID BREARLEY MIDDLE/HIGH SCHOOL,Kenilworth,7033,Public,3,503,512,1015,108281
2430,050,25,MONMOUTH,KEYPORT BOROUGH,KEYPORT HIGH SCHOOL,Keyport,7735,Public,3,486,488,974,56935
2440,050,15,GLOUCESTER,KINGSWAY REGIONAL,KINGSWAY REGIONAL HIGH SCHOOL,Woolwich Twp.,8085,Public,3,561,562,1123,111318
2460,050,27,MORRIS,KINNELON BOROUGH,KINNELON HIGH SCHOOL,Kinnelon,7405,Public,3,583,586,1169,147267
2465,050,37,SUSSEX,KITTATINNY REGIONAL,KITTATINNY REGIONAL HIGH SCHOOL,Newton,7860,Public,3,572,579,1151,82716
2480,020,29,OCEAN,LACEY TOWNSHIP,LACEY TOWNSHIP HIGH SCHOOL,Lanoka Harbor,8734,Public,3,540,551,1091,78649
2510,050,31,PASSAIC,LAKELAND REGIONAL,LAKELAND REGIONAL HIGH SCHOOL,Wanaque,7465,Public,3,559,566,1125,85545
2520,050,29,OCEAN,LAKEWOOD TOWNSHIP,LAKEWOOD HIGH SCHOOL,Lakewood,8701,Public,3,452,448,900,45321
2580,040,21,MERCER,LAWRENCE TOWNSHIP,LAWRENCE HIGH SCHOOL,Lawrenceville,8648,Public,3,575,579,1154,73277
7109,931,7,CAMDEN,LEAP ACADEMY UNIVERSITY CHARTER SCHOOL,LEAP ACADEMY UNIVERSITY CHARTER SCHOOL,CAMDEN,8102,Charter,1,443,439,882,20529
2610,040,5,BURLINGTON,LENAPE REGIONAL,CHEROKEE HIGH SCHOOL,Shamong,8088,Public,3,585,573,1158,77303
2610,050,5,BURLINGTON,LENAPE REGIONAL,LENAPE HIGH SCHOOL,Shamong,8088,Public,3,590,576,1166,77303
2610,070,5,BURLINGTON,LENAPE REGIONAL,SENECA HIGH SCHOOL,Shamong,8088,Public,3,554,569,1123,77303
2610,060,5,BURLINGTON,LENAPE REGIONAL,SHAWNEE HIGH SCHOOL,Shamong,8088,Public,3,583,588,1171,77303
2615,050,37,SUSSEX,LENAPE VALLEY REGIONAL,LENAPE VALLEY REGIONAL HIGH SCHOOL,Stanhope,7874,Public,3,561,563,1124,90613
2620,050,3,BERGEN,LEONIA BOROUGH,LEONIA HIGH SCHOOL,Leonia,7605,Public,3,580,595,1175,89744
2660,050,39,UNION,LINDEN CITY,LINDEN HIGH SCHOOL,Linden,7036,Public,3,493,503,996,66538
2670,005,7,CAMDEN,LINDENWOLD BOROUGH,LINDENWOLD HIGH SCHOOL,Lindenwold,8021,Public,3,494,478,972,41346
2730,050,13,ESSEX,LIVINGSTON TOWNSHIP,LIVINGSTON HIGH SCHOOL,Livingston,7039,Public,3,625,615,1240,153381
2740,050,3,BERGEN,LODI BOROUGH,LODI HIGH SCHOOL,Lodi,7644,Public,3,518,514,1032,57188
2770,050,25,MONMOUTH,LONG BRANCH CITY,LONG BRANCH HIGH SCHOOL,LONG BRANCH,7740,Public,3,485,476,961,54398
2820,050,9,CAPE MAY,LOWER CAPE MAY REGIONAL,LOWER CAPE MAY REGIONAL HIGH SCHOOL,Cape May,8204,Public,3,544,536,1080,67186
2860,050,3,BERGEN,LYNDHURST TOWNSHIP,LYNDHURST HIGH SCHOOL,Lyndhurst,7071,Public,3,554,549,1103,73218
6068,951,17,HUDSON,M.E.T.S. CHARTER SCHOOL,M.E.T.S. CHARTER SCHOOL,JERSEY CITY,7307,Charter,1,495,487,982,59744
2870,050,27,MORRIS,MADISON BOROUGH,MADISON HIGH SCHOOL,Madison,7940,Public,3,616,621,1237,127948
2900,050,3,BERGEN,MAHWAH TOWNSHIP,MAHWAH HIGH SCHOOL,Mahwah,7430,Public,3,609,594,1203,107215
2910,050,1,ATLANTIC,MAINLAND REGIONAL,MAINLAND REGIONAL HIGH SCHOOL,LINWOOD,8221,Public,3,560,565,1125,91861
2930,050,25,MONMOUTH,MANASQUAN BOROUGH,MANASQUAN HIGH SCHOOL,Manasquan,8736,Public,3,584,568,1152,106298
2940,040,29,OCEAN,MANCHESTER TOWNSHIP,MANCHESTER TOWNSHIP HIGH SCHOOL,Whiting,8759,Public,3,542,536,1078,41689
3000,050,35,SOMERSET,MANVILLE BOROUGH,MANVILLE HIGH SCHOOL,Manville,8835,Public,3,551,555,1106,67080
3010,030,5,BURLINGTON,MAPLE SHADE TOWNSHIP,MAPLE SHADE HIGH SCHOOL,Maple Shade,8052,Public,3,539,534,1073,57460
7210,940,1,ATLANTIC,MARION P. THOMAS CHARTER SCHOOL,MARION P. THOMAS CHARTER SCHOOL,NEWARK,7103,Charter,1,436,452,888,27859
3040,050,25,MONMOUTH,MATAWAN-ABERDEEN REGIONAL,MATAWAN REGIONAL HIGH SCHOOL,Aberdeen,7747,Public,3,560,547,1107,91536
3120,050,23,MIDDLESEX,METUCHEN BOROUGH,METUCHEN HIGH SCHOOL,Metuchen,8840,Public,3,583,594,1177,116632
3130,050,9,CAPE MAY,MIDDLE TOWNSHIP,MIDDLE TOWNSHIP HIGH SCHOOL,Cape May Court House,8210,Public,3,562,555,1117,62249
3140,050,23,MIDDLESEX,MIDDLESEX BOROUGH,MIDDLESEX HIGH SCHOOL,Middlesex,8846,Public,3,579,559,1138,73196
3150,070,23,MIDDLESEX,MIDDLESEX COUNTY VOCATIONAL,MIDDLESEX COUNTY VOC ACAD ALLIED HEALTH & BIOMEDICAL SCIENCE,East Brunswick,8816,Vocational,2,715,708,1423,106039
3150,010,23,MIDDLESEX,MIDDLESEX COUNTY VOCATIONAL,MIDDLESEX COUNTY VOC ACADEMY MATH SCIENCE &ENGINEERING TECHNOLOGY,East Brunswick,8816,Vocational,2,760,742,1502,106039
3150,040,23,MIDDLESEX,MIDDLESEX COUNTY VOCATIONAL,MIDDLESEX COUNTY VOCATIONAL SCHOOL EAST BRUNSWICK,East Brunswick,8816,Vocational,2,492,524,1016,106039
3150,060,23,MIDDLESEX,MIDDLESEX COUNTY VOCATIONAL,MIDDLESEX COUNTY VOCATIONAL SCHOOL PERTH AMBOY,East Brunswick,8816,Vocational,2,474,476,950,106039
3150,065,23,MIDDLESEX,MIDDLESEX COUNTY VOCATIONAL,MIDDLESEX COUNTY VOCATIONAL SCHOOL PISCATAWAY,East Brunswick,8816,Vocational,2,455,460,915,106039
3160,050,25,MONMOUTH,MIDDLETOWN TOWNSHIP,MIDDLETOWN HIGH SCHOOL NORTH,Leonardo,7748,Public,3,565,562,1127,105035
3160,053,25,MONMOUTH,MIDDLETOWN TOWNSHIP,MIDDLETOWN HIGH SCHOOL SOUTH,Leonardo,7748,Public,3,580,569,1149,105035
3170,050,3,BERGEN,MIDLAND PARK BOROUGH,MIDLAND PARK JR./SR. HIGH SCHOOL,Midland Park,7432,Public,3,560,586,1146,105313
